iter	Passed	Remaining
630	81987	47945
631	82124	47819
632	82253	47688
633	82377	47555
634	82480	47410
635	82609	47279
636	82725	47141
637	82844	47005
638	82967	46872
639	83106	46747
640	83243	46621
641	83365	46487
642	83491	46355
643	83615	46222
644	83746	46093
645	83880	45965
646	84000	45830
647	84126	45698
648	84247	45563
649	84379	45434
650	84506	45303
651	84611	45160
652	84734	45027
653	84861	44895
654	84983	44762
655	85118	44635
656	85241	44501
657	85365	44369
658	85502	44243
659	85627	44111
660	85750	43977
661	85884	43850
662	85990	43708
663	86111	43574
664	86231	43439
665	86355	43307
666	86479	43175
667	86623	43052
668	86743	42918
669	86860	42781
670	86977	42646
671	87109	42517
672	87226	42382
673	87358	42253
674	87490	42124
675	87613	41992
676	87752	41867
677	87886	41739
678	88018	41610
679	88132	41474
680	88245	41336
681	88379	41209
682	88493	41072
683	88632	40947
684	88763	40818
685	88890	40687
686	89011	40553
687	89135	40421
688	89261	40290
689	89383	40157
690	89499	40022
691	89615	39886
692	89731	39751
693	89872	39626
694	89992	39492
695	90123	39364
696	90253	39234
697	90359	39095
698	90471	38958
699	90580	38820
700	90690	38682
701	90811	38549
702	90950	38424
703	91089	38299
704	91207	38164
705	91326	38031
706	91444	37897
707	91573	37767
708	91694	37634
709	91832	37509
710	91951	37375
711	92090	37250
712	92238	37128
713	92352	36992
714	92478	36862
715	92595	36727
716	92722	36597
717	92829	36459
718	92965	36332
719	93081	36198
720	93281	36096
721	93410	35966
722	93532	35834
723	93660	35704
724	93774	35569
725	93903	35440
726	94019	35305
727	94137	35172
728	94255	35038
729	94387	34910
730	94518	34781
731	94648	34652
732	94774	34522
733	94899	34391
734	95035	34264
735	95162	34134
736	95284	34002
737	95409	33871
738	95540	33743
739	95667	33613
740	95784	33479
741	95913	33349
742	96040	33219
743	96165	33089
744	96281	32955
745	96410	32825
746	96521	32690
747	96659	32564
748	96778	32431
749	96904	32301
750	97024	32169
751	97148	32038
752	97274	31908
753	97403	31779
754	97523	31646
755	97649	31516
756	97779	31387
757	97915	31260
758	98044	31131
759	98176	31003
760	98317	30877
761	98446	30748
762	98576	30619
763	98708	30491
764	98848	30365
765	98983	30237
766	99101	30105
767	99224	29974
768	99346	29842
769	99471	29712
770	99598	29582
771	99720	29451
772	99829	29316
773	99951	29184
774	100091	29058
775	100222	28930
776	100352	28801
777	100479	28671
778	100600	28540
779	100736	28412
780	100869	28284
781	100994	28154
782	101139	28029
783	101259	27898
784	101386	27768
785	101511	27637
786	101639	27508
787	101784	27383
788	101909	27253
789	102075	27133
790	102212	27006
791	102349	26879
792	102475	26749
793	102597	26618
794	102729	26490
795	102863	26361
796	103002	26235
797	103139	26107
798	103281	25981
799	103429	25857
800	103558	25728
801	103709	25604
802	103845	25476
803	103973	25346
804	104107	25218
805	104244	25091
806	104441	24977
807	104585	24851
808	104714	24722
809	104845	24593
810	105000	24469
811	105145	24344
812	105279	24215
813	105421	24088
814	105581	23966
815	105735	23842
816	105877	23715
817	106007	23585
818	106125	23453
819	106249	23322
820	106370	23191
821	106497	23061
822	106628	22932
823	106762	22803
824	106883	22672
825	107014	22542
826	107131	22410
827	107258	22280
828	107404	22154
829	107534	22025
830	107661	21894
831	107796	21766
832	107935	21638
833	108068	21509
834	108204	21381
835	108333	21252
836	108471	21124
837	108606	20995
838	108720	20862
839	108843	20732
840	108985	20604
841	109115	20475
842	109246	20346
843	109369	20215
844	109501	20086
845	109623	19955
846	109753	19825
847	109886	19696
848	110021	19567
849	110169	19441
850	110301	19312
851	110442	19184
852	110587	19057
853	110716	18928
854	110854	18799
855	110985	18670
856	111113	18540
857	111267	18414
858	111383	18283
859	111499	18151
860	111627	18021
861	111765	17892
862	111894	17763
863	112033	17634
864	112168	17506
865	112317	17379
866	112458	17251
867	112599	17123
868	112740	16995
869	112881	16867
870	113015	16738
871	113146	16608
872	113281	16479
873	113423	16351
874	113557	16222
875	113690	16093
876	113830	15964
877	113973	15836
878	114120	15709
879	114241	15578
880	114367	15448
881	114504	15319
882	114645	15190
883	114777	15061
884	114910	14931
885	115044	14802
886	115176	14672
887	115327	14545
888	115537	14425
889	115679	14297
890	115833	14170
891	115961	14040
892	116108	13912
893	116236	13781
894	116362	13651
895	116491	13521
896	116614	13390
897	116735	13259
898	116885	13131
899	117012	13001
900	117144	12871
901	117277	12741
902	117413	12612
903	117550	12483
904	117688	12354
905	117837	12225
906	117980	12097
907	118144	11970
908	118285	11841
909	118419	11711
910	118547	11581
911	118677	11451
912	118808	11321
913	118929	11190
914	119074	11061
915	119202	10931
916	119321	10800
917	119451	10669
918	119563	10538
919	119694	10408
920	119830	10278
921	119968	10149
922	120100	10019
923	120253	9890
924	120396	9761
