iter	RMSE
247	4063.987768
248	4062.240267
249	4057.824952
250	4055.554798
251	4052.58119
252	4050.256657
253	4048.306197
254	4046.711747
255	4042.505691
256	4035.99994
257	4035.119958
258	4033.465269
259	4029.737429
260	4026.349801
261	4015.437037
262	4011.360072
263	4010.712283
264	4010.301385
265	4009.06713
266	4007.854488
267	4006.937482
268	4004.63036
269	4002.531139
270	3999.605093
271	3998.569038
272	3996.275307
273	3992.550924
274	3990.92292
275	3989.541278
276	3986.901848
277	3984.994613
278	3983.988751
279	3982.37024
280	3981.659783
281	3980.171772
282	3979.118642
283	3978.498489
284	3977.125571
285	3976.114335
286	3974.394254
287	3973.696535
288	3971.732342
289	3970.448176
290	3968.830796
291	3967.419867
292	3943.667938
293	3939.456133
294	3934.632118
295	3932.168221
296	3929.832498
297	3928.851904
298	3925.97648
299	3925.08907
300	3923.822638
301	3921.263132
302	3919.08309
303	3917.44335
304	3915.791974
305	3913.022971
306	3910.733179
307	3908.245349
308	3905.62653
309	3904.307652
310	3902.276793
311	3900.969783
312	3898.732182
313	3894.459608
314	3893.231709
315	3892.018185
316	3890.288632
317	3889.266035
318	3888.246158
319	3881.500095
320	3880.286252
321	3879.744873
322	3877.628862
323	3876.16614
324	3874.640604
325	3873.184976
326	3869.992741
327	3869.618217
328	3867.819451
329	3866.409491
330	3864.851622
331	3862.896731
332	3861.178442
333	3858.641956
334	3857.25659
335	3856.748768
336	3854.152242
337	3851.672346
338	3850.787198
339	3846.658638
340	3842.520445
341	3841.550482
342	3840.601699
343	3837.061178
344	3836.153135
345	3835.405426
346	3834.988418
347	3833.642299
348	3830.871749
349	3829.677178
350	3828.223888
351	3827.887849
352	3826.540345
353	3823.713917
354	3822.275432
355	3821.159851
356	3819.910202
357	3818.54145
358	3817.573682
359	3814.937187
360	3813.123691
361	3810.422628
362	3809.730864
363	3806.928694
364	3804.636585
365	3803.799833
366	3801.34492
367	3800.875721
368	3799.677477
369	3796.204705
370	3793.556396
371	3791.568878
372	3790.117703
373	3788.847163
374	3787.2953
375	3784.278297
376	3783.015943
377	3781.453022
378	3779.603797
379	3778.897359
380	3777.51242
381	3776.737338
382	3775.040582
383	3774.017718
384	3772.839232
385	3771.85901
386	3771.332633
387	3770.610795
388	3769.818049
389	3768.674509
390	3767.879629
391	3766.942502
392	3763.82309
393	3761.859395
394	3760.653821
395	3759.762332
396	3758.858745
397	3757.872642
398	3756.6807
399	3752.567476
400	3750.550649
401	3749.48974
402	3747.455366
403	3746.471803
404	3745.302073
405	3742.526943
406	3740.905179
407	3739.875528
408	3738.684647
409	3737.998869
410	3737.227942
411	3735.080979
412	3734.692453
413	3732.576802
414	3731.766112
415	3730.807152
416	3729.229369
417	3728.720235
418	3726.730671
419	3725.798401
420	3723.935086
421	3723.334098
422	3722.574911
423	3720.283552
424	3718.446751
425	3716.703355
426	3716.079411
427	3715.227254
428	3714.900085
429	3713.941958
430	3712.804638
431	3712.272258
432	3710.512771
433	3709.330681
434	3708.030578
435	3705.502632
436	3704.982412
437	3704.553572
438	3703.788683
439	3702.909871
440	3701.456364
441	3700.738277
442	3699.985868
443	3699.122505
444	3697.611686
445	3697.455046
446	3695.45943
447	3692.473358
448	3690.425735
449	3689.300007
450	3688.629745
451	3687.266568
452	3685.69053
453	3684.296625
454	3684.151332
455	3682.219213
456	3681.028263
457	3680.799498
458	3678.461463
459	3677.695646
460	3677.096745
461	3676.35034
462	3675.306394
463	3674.799333
464	3672.674675
465	3672.452203
466	3671.658766
467	3671.120293
468	3670.641652
469	3669.999707
470	3668.983718
471	3667.332925
472	3665.933735
473	3665.324947
474	3663.234095
475	3661.801734
476	3660.978471
477	3658.764904
478	3657.387496
479	3655.944373
480	3654.271137
481	3651.20244
482	3650.458198
483	3649.309772
484	3648.923828
485	3646.769097
486	3645.440385
487	3644.059998
488	3643.313413
489	3642.301405
490	3641.066881
491	3639.906528
492	3639.287861
493	3637.04214
494	3636.184119
495	3635.379978
496	3634.897142
497	3634.364201
498	3633.637659
499	3632.464575
500	3631.553249
501	3631.044515
502	3630.184449
503	3629.271204
504	3628.611802
505	3626.540108
506	3625.854535
507	3625.324595
508	3624.84304
509	3624.480973
510	3623.088331
511	3622.517672
512	3620.929838
513	3620.109961
514	3619.361218
515	3617.528496
516	3615.874362
517	3615.285043
518	3613.907193
519	3613.203979
520	3611.035112
521	3609.918616
522	3608.469416
523	3607.343334
524	3606.289535
525	3605.424158
526	3603.993947
527	3603.303533
528	3601.641593
529	3599.978392
530	3599.056192
531	3598.441558
532	3597.368052
533	3595.952558
534	3595.099923
535	3593.468574
536	3592.490693
537	3591.527341
538	3590.684858
539	3589.161151
540	3588.629142
541	3586.777604
542	3586.497898
543	3585.523258
544	3584.696768
545	3583.479909
546	3583.129242
547	3582.387908
548	3580.59102
549	3580.178634
550	3578.580821
551	3577.572146
552	3576.740782
553	3575.6905
554	3575.238272
555	3574.157871
556	3573.697544
557	3572.950102
558	3571.962132
559	3570.995746
560	3570.49489
561	3570.094169
562	3568.667088
563	3567.051725
564	3566.277274
565	3565.479908
566	3564.861807
567	3564.519564
568	3564.254525
569	3562.708228
570	3562.09067
571	3561.572644
572	3561.198319
573	3559.73293
574	3558.016244
575	3557.230057
576	3555.829636
577	3555.041657
578	3554.354148
579	3551.105033
580	3550.370785
581	3549.040694
582	3546.811329
583	3545.827962
584	3545.241634
585	3542.777191
586	3542.473033
587	3541.930055
588	3540.013088
589	3539.323787
590	3537.656422
591	3536.571823
592	3536.051191
593	3535.614587
594	3534.969807
595	3534.240039
596	3532.880529
597	3532.07749
598	3531.243099
599	3529.526729
600	3529.31661
601	3528.783569
602	3528.638463
603	3527.933322
604	3526.834989
605	3526.532143
606	3525.458604
607	3524.890308
608	3524.32249
609	3522.450927
610	3521.715698
611	3520.904731
612	3520.536613
613	3520.288201
614	3519.408516
615	3518.873706
616	3517.994965
617	3516.166428
618	3515.555276
619	3514.120649
620	3513.362085
621	3512.097195
622	3511.628127
623	3511.096225
624	3510.803164
625	3510.387153
626	3507.112729
627	3506.398335
628	3505.566072
629	3505.195776
630	3504.471138
631	3502.937268
632	3502.518678
633	3501.605236
634	3501.334353
635	3500.708699
636	3499.945507
637	3498.471143
638	3496.653612
639	3495.81161
640	3495.381865
641	3494.259128
642	3493.732833
643	3493.094301
644	3491.739735
645	3491.401917
646	3490.69057
647	3489.694077
648	3489.405528
649	3488.95252
650	3488.101277
651	3487.494114
652	3485.241266
653	3484.461053
654	3483.58816
655	3482.884379
656	3481.857949
657	3481.122104
658	3479.607182
659	3478.50064
660	3477.93851
661	3477.431025
662	3477.104237
663	3476.030215
664	3475.587522
665	3475.297481
666	3474.50209
667	3474.390053
668	3473.622112
669	3472.657883
670	3471.581984
671	3471.302491
672	3471.025057
673	3470.552844
674	3470.012347
675	3469.584244
676	3469.257079
677	3468.41798
678	3468.026004
679	3467.291991
680	3466.892441
681	3466.213587
682	3465.432681
683	3464.250649
684	3463.246718
685	3462.643674
686	3461.822225
687	3459.854356
688	3459.36777
689	3458.785538
690	3458.051366
691	3453.880239
692	3453.139473
693	3452.157979
694	3451.585464
695	3451.415988
696	3450.891216
697	3450.779943
698	3450.583307
699	3449.79676
700	3448.261787
701	3447.514909
702	3447.205994
703	3446.259161
704	3445.74757
705	3445.168201
706	3444.529321
707	3443.945505
708	3443.600866
709	3440.567137
710	3439.722864
711	3439.340149
712	3439.12483
713	3438.55224
714	3438.048198
715	3437.686175
716	3437.262302
717	3436.637158
718	3436.302822
719	3435.77683
720	3434.152697
721	3431.949397
722	3431.72817
723	3431.377433
724	3430.909517
725	3430.304598
726	3429.736589
727	3428.379108
728	3427.112417
729	3426.205533
730	3425.694183
731	3424.808179
732	3424.504619
733	3422.936288
734	3422.464671
735	3422.06089
736	3419.884604
737	3418.364034
738	3417.450376
739	3416.699519
740	3416.082155
741	3415.010558
742	3414.408896
743	3413.814112
744	3413.551766
745	3412.268701
746	3412.030272
747	3411.360097
748	3411.029151
749	3410.561446
750	3410.018005
751	3409.387936
752	3408.941847
753	3408.378412
754	3406.832791
755	3406.590981
756	3405.428279
757	3404.426126
758	3403.786948
759	3403.124696
760	3402.698556
761	3401.939726
762	3400.946037
763	3399.751678
764	3399.347575
765	3399.037746
766	3398.341913
767	3397.256021
768	3396.901795
769	3396.201566
770	3395.88201
771	3395.174557
772	3394.537759
773	3394.238829
774	3393.52415
775	3392.782992
776	3392.473709
777	3391.919057
778	3391.162531
779	3390.733887
780	3390.191908
781	3389.188112
782	3388.874203
783	3388.548815
784	3386.699158
785	3386.467562
786	3385.367305
787	3382.897609
788	3381.966793
789	3381.781912
790	3381.401721
791	3380.523366
792	3380.192407
793	3379.637518
794	3379.257861
795	3378.027202
796	3377.167014
797	3376.937942
798	3376.172448
799	3375.560589
800	3375.139623
801	3374.875305
802	3374.448566
803	3373.92923
804	3373.250795
805	3372.606638
806	3371.990453
807	3371.297372
808	3370.55511
809	3370.115558
810	3367.741654
811	3367.195508
812	3366.602473
813	3366.081243
814	3365.806989
815	3364.855508
816	3364.238033
817	3363.631417
818	3362.738949
819	3362.39563
820	3361.292099
821	3359.454905
822	3359.319553
823	3358.952672
824	3358.644009
825	3358.140052
826	3357.285624
827	3356.449458
828	3352.587871
829	3351.237113
830	3350.774719
831	3349.914343
832	3349.461857
833	3349.198559
834	3348.792701
835	3348.457544
836	3348.186082
837	3347.857183
838	3346.941716
839	3346.583248
840	3345.893843
841	3345.493173
842	3345.013653
843	3344.424603
844	3343.743593
845	3342.813741
846	3342.368825
847	3342.185259
848	3341.673091
849	3341.098393
850	3340.486665
851	3339.915715
852	3339.234292
853	3338.885921
854	3338.376281
855	3337.186465
856	3336.922015
857	3336.631961
858	3335.823948
859	3335.621334
860	3335.048314
861	3334.368951
862	3333.665976
863	3332.502007
864	3331.903409
865	3331.592165
866	3331.430737
867	3331.086681
868	3330.783283
869	3330.370726
870	3329.506486
871	3329.33518
872	3329.083545
873	3328.840249
874	3327.858088
875	3327.548266
876	3327.061043
877	3326.534741
878	3324.818487
879	3324.383811
880	3323.75054
881	3323.284829
882	3323.043163
883	3322.65223
884	3322.020331
885	3321.655455
886	3321.139182
887	3320.798609
888	3320.329944
889	3320.174713
890	3319.922082
891	3318.931263
892	3318.679522
893	3318.065066
894	3316.102326
895	3315.792879
896	3315.555993
897	3315.137051
898	3314.526496
899	3313.899004
900	3313.583585
901	3313.402164
902	3312.938701
903	3312.397663
904	3311.514475
905	3310.601976
906	3310.15627
907	3309.075691
908	3308.827355
909	3308.485397
910	3307.809299
911	3306.980742
912	3306.879638
913	3306.155007
914	3305.574843
915	3304.782456
916	3303.888704
917	3303.496701
918	3303.018886
919	3302.841087
920	3302.669236
921	3302.144846
922	3301.786964
923	3301.014632
924	3300.678815
